date,value
2023-09-15,71.96018413429104
2023-09-16,63.22306746031746
2023-09-17,62.96682725504981
2023-09-18,69.56316044287472
2023-09-19,70.9162380952381
2023-09-20,72.0260873015873
2023-09-21,71.51247589190046
2023-09-22,70.74531746031747
2023-09-23,68.82974245009723
2023-09-24,67.15735465693083
2023-09-25,70.20562301587302
2023-09-26,71.71390452002063
2023-09-27,72.04268343981904
2023-09-28,71.57679987301084
2023-09-29,73.3595992063492
2023-09-30,65.6158014206913
2023-10-01,64.3234644231914
2023-10-02,70.60715822056432
2023-10-03,70.71599984126354
2023-10-04,70.99626096273661
2023-10-05,70.82798841223858
2023-10-06,70.23921901662764
2023-10-07,63.321773809523805
2023-10-08,69.52321838168182
2023-10-09,70.52957974522798
2023-10-10,72.56195238095238
2023-10-11,73.395764911306
